Topic,Count,Name,Representation,Representative_Docs
0,112,0_fate_forgotten_brother_award,"['fate', 'forgotten', 'brother', 'award', 'rip', 'hero', 'death', 'alive', 'sons', 'sad']","[""Brian Thompson made it in life from humble/modest background and barely got to enjoy much of it before he was killed. he'll never see his boys get married or meet his grandkids. had his whole life ahead of him before it was abruptly cut short. and for nothing."", 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']"
1,89,1_murderer_killer_innocent_died,"['murderer', 'killer', 'innocent', 'died', 'victim', 'deserved', 'vile', 'death', 'empathy', 'kill']","['She literally received threats at work today implying she belonged with Brian Thompson. I don’t care if you know me or not, celebrating anyone’s death is pure evil. If you do know me, disassociate if you have literally any argument in favor of celebrating the death of my mom.', 'Brian Thompson was an innocent person.', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
2,76,2_unitedhealth_assassinated_died_executive,"['unitedhealth', 'assassinated', 'died', 'executive', 'fatally', 'killed', 'healthcare', 'insurance', 'shot', 'fatal']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot: \n\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\n\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\n\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
3,76,3_wealthy_rich_poor_billionaires,"['wealthy', 'rich', 'poor', 'billionaires', 'grew', 'classmates', 'father', 'ivy', 'family', 'kid']","['This! ⬇️. Ironic Luigi grew up affluent, Ivy League educ., while Brian (the victim, since no one says it - his name was “BRIAN THOMPSON”, and HE WAS A HUMAN BEING and LOVED!!) grew up working class, went to a state university and got a Business Admin. degree (both like me).', 'Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\n\nRittenhouse shot people attacking him in an effort to do him bodily harm\n\nLIBERAL MORAL ROT', 'What irony. Spoiled delusional rich kid takes the life of a wealthy CEO who grew up poor. Luigi had failed in life by the age of 26 when compared to his private school classmates, and he decided that his only way of leaving his mark was to carry out this cowardly act.']"
4,73,4_ceos_unitedhealthcareceo_healthcare_leftist,"['ceos', 'unitedhealthcareceo', 'healthcare', 'leftist', 'sympathy', 'liberals', 'liberal', 'united', 'health', 'humanity']","['“THE WAY THE LEFT IS FANTASIZING OVER THE DEATH OF ANOTHER HUMAN BEING IS JUST SICK!”  and the hosts of  discuss the liberal support of the murderer of UnitedHealthCare’s CEO. ""The left seems to be on the other side of right and wrong.”', 'I don’t know which side this CEO was on, whether criminal or slave, but it still breaks my heart that a life was taken and people who loved him are hurting. Especially if there are innocent children involved! Prayers for our broken world and the broken people in it.💔🙏🏼', ""United health care ceo (United)\nWe shouldn't support people like $luigi who just pick up a gun and shoot at someone who they don't like may brian Thompson unitedhealthcare ceo may Rest In Peace\n\nCA: BGyeN4mB7mnoTDAekXyF3tNgxaYNeArSwPA6wRjypump""]"
5,72,5_justice_injustice_conviction_killer,"['justice', 'injustice', 'conviction', 'killer', 'victim', 'murders', 'case', 'perpetrator', 'tragic', 'crime']","['JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\n\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.', 'Someone killed $Brian Thompson \n\nBrian has a family and two innocent children 🧒 so he deserves justice..\nJustice for #BrianThompson \n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'Justice for Brian Thompson.']"
6,67,6_luigimangione_mangioni_prayers_praying,"['luigimangione', 'mangioni', 'prayers', 'praying', 'news', 'pray', 'family', 'jesus', 'arrest', 'devastated']","['NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', 'Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”""]"
7,58,7_murderer_taylor_horrified_murdering,"['murderer', 'taylor', 'horrified', 'murdering', 'killer', 'disturbing', 'lorenz', 'upset', 'liberals', 'sickening']","['Taylor Lorenz is deranged. She\'s so quick to acknowledge joyful bliss is the slaying of a man with the hyperbolic justification ""...the tens of thousands of Americans that he murdered!”. \n\nBrian Thompson didn\'t murder anyone. \n\nTaylor Lorenz should be shunned.', 'Disturbing! How does this make anyone feel “joyful”?\n\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']"
8,55,8_finale_justice_killed_died,"['finale', 'justice', 'killed', 'died', 'murderous', 'killer', 'nick', 'pumped', 'death', 'rampage']","['The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON! (the finale).\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON (the finale).\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON !! (the finale).\n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']"
9,52,9_unitedhealth_ceos_healthcare_executives,"['unitedhealth', 'ceos', 'healthcare', 'executives', 'leadership', 'health', 'insurer', 'inc', 'company', 'insurance']","['💔 A tragic loss for UnitedHealth Group as CEO Brian Thompson is remembered. 📉 Despite challenges, the company remains strong! Discover the full story and future outlook here: [Link] #UnitedHealth #Leadership #Healthcare', ""UnitedHealth Group $UNH is navigating challenges following the tragic loss of UnitedHealthcare CEO Brian Thompson. CEO Andrew Witty acknowledges the healthcare system's flaws and emphasizes the company's commitment to improvements."", 'UnitedHealth chief admits US health system ‘does not work as well as it should’  \nIn a New York Times essay, Andrew Witty also says slain healthcare CEO Brian Thompson cared about customers\n\nThe leader of the parent company of Unit…']"
