Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date,DateTime
Thank you for the response #TSTheErasTour #UnitedAgainstCorruption #UnitedHealthcare #healthcare #LifeSaver #fighters #everyone #Trending #AlwaysWonder,1,1_piers_lorenz_morgan_ceos,"['piers', 'lorenz', 'morgan', 'ceos', 'murderer', 'death', 'cheering', 'joy', 'innocent', 'video']","['Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video) | The Gateway Pundit | by Margaret Flavin', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)  #gatewaypundit via', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)']",piers - lorenz - morgan - ceos - murderer - death - cheering - joy - innocent - video,False,12/9/2024 21:58,12/9/2024 21:58
Brian Thompson was from a small town in Iowa of 1200 people and graduated with a BS Biz & Accounting degree from the U of Iowa. He literally just worked his way up the corporate ladder. He lived in a mostly middle class suburb and his kids go to a public school.,19,19_iowa_graduated_employees_companies,"['iowa', 'graduated', 'employees', 'companies', 'manager', 'grew', 'corporate', 'company', 'jewell', 'beautician']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\n\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']",iowa - graduated - employees - companies - manager - grew - corporate - company - jewell - beautician,False,12/9/2024 21:30,12/9/2024 21:30
"10 children. 
Big donors to local community College",11,11_celebrating_murderer_healthcare_celebrate,"['celebrating', 'murderer', 'healthcare', 'celebrate', 'death', 'killed', 'died', 'trump', 'obamacare', 'democrats']","['Charlamage the God chimes in on the murder of UnitedHealthcare CEO Brian Thompson, questions why people are celebrating it.\n\n""I don\'t understand why people are celebrating him being killed because like I said yesterday, he\'s dead. His kids don\'t got no father.""', 'Let’s get this straight. \n\nSince the left is actually celebrating the death of United Healthcare’s CEO Brian Thompson, the lack of outcry for gun control is deafening. \n\nIf they really mean what they say, the left has to change their whole stance on guns. \n\nOr is it a…', 'I DON’T CARE IF YOU LIKE SOMEONE OR NOT, CELEBRATING OR WISHING DEATH ON A PERSON IS JUST EVIL! Left-Wing Journalists Celebrate Murder of Health Insurance CEO Brian Thompson']",celebrating - murderer - healthcare - celebrate - death - killed - died - trump - obamacare - democrats,False,12/9/2024 21:25,12/9/2024 21:25
Hopefully they find this killer in New York who he took down CEO UnitedHealthCare Brian Thompson last week and i hope they can find this killer now. prevail this now y'all.,9,9_unitedhealth_killer_fatally_killed,"['unitedhealth', 'killer', 'fatally', 'killed', 'shot', 'executive', 'healthcare', 'fatal', 'hilton', 'insurance']","['SAD NEWS: The CEO of UnitedHealthcare Brian Thompson, age 50 has been fatally shot outside of Hilton hotel in Midtown Manhattan in a possible targeted attack. Thompson was set to speak at an investor conference today. RIP 💔', '🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot: \n\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - killer - fatally - killed - shot - executive - healthcare - fatal - hilton - insurance,False,12/9/2024 21:21,12/9/2024 21:21
Why would  repost this. So she follows Luigi and she reposts this video and spoke on how she wished these CEO’s death.,13,13_healthcare_ceos_care_rich,"['healthcare', 'ceos', 'care', 'rich', 'customer', 'health', 'fixing', 'insurance', 'meanwhile', 'raise']","['Every meeting in BT’s world was about driving down the cost of care and fixing the exact problems Luigi was talking about. Witty hates the current state of US healthcare and he charged BT with fixing it because BT got shit done. The entire system needs to be reformed.', 'Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.', 'Luigi has raised 30 grand already in 7 days. It has taken us several months to reach 30 grand for children and veterans. This is so disappointing when we work so hard helping and healing people. I will never understand why bad people always get the help and good people suffer.…']",healthcare - ceos - care - rich - customer - health - fixing - insurance - meanwhile - raise,False,12/9/2024 21:16,12/9/2024 21:16
The UnitedHealthCare ceo 😭😭,1,1_piers_lorenz_morgan_ceos,"['piers', 'lorenz', 'morgan', 'ceos', 'murderer', 'death', 'cheering', 'joy', 'innocent', 'video']","['Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video) | The Gateway Pundit | by Margaret Flavin', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)  #gatewaypundit via', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)']",piers - lorenz - morgan - ceos - murderer - death - cheering - joy - innocent - video,False,12/9/2024 20:59,12/9/2024 20:59
"UnitedHealth issued a statement after the arrest of a person of interest in murder of CEO Brian Thompson, saying, ""our hope"" is the arrest brings ""some relief to Brian's family, friends, colleagues and the many others affected by this unspeakable tragedy.""",7,7_unitedhealth_healthcare_health_leadership,"['unitedhealth', 'healthcare', 'health', 'leadership', 'died', 'insurance', 'inc', 'company', 'condolences', 'medicare']","[""UnitedHealth Group $UNH is navigating challenges following the tragic loss of UnitedHealthcare CEO Brian Thompson. CEO Andrew Witty acknowledges the healthcare system's flaws and emphasizes the company's commitment to improvements."", '💔 A tragic loss for UnitedHealth Group as CEO Brian Thompson is remembered. 📉 Despite challenges, the company remains strong! Discover the full story and future outlook here: [Link] #UnitedHealth #Leadership #Healthcare', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\n\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \nDecember 05, 2024\n\nUnitedHealth Group today issued the following statement:\n\n""While our hearts are broken, we have been…']",unitedhealth - healthcare - health - leadership - died - insurance - inc - company - condolences - medicare,False,12/9/2024 20:59,12/9/2024 20:59
Brian Thompson was a fine father. When the dad moves out you can have Xbox at one house and PlayStation at the other. In my case it was snes and genesis,2,2_jesus_rip_god_celebrate,"['jesus', 'rip', 'god', 'celebrate', 'brother', 'holiday', 'die', 'death', 'day', 'alive']","[""Brian Thompson made it in life from humble/modest background and barely got to enjoy much of it before he was killed. he'll never see his boys get married or meet his grandkids. had his whole life ahead of him before it was abruptly cut short. and for nothing."", ""Brian Thompson and his family live in the next town over from me. His wife and two boys are going to sleep tonight after enduring the worst day of their lives. They'll never have a normal holiday season ever again. Millions of people watched their husband & dad get killed.\n\nShit…"", ""This is ghastly. Seek Jesus, repent. 1 second here, next second crossing over. Where would you land if your time was up today?\nJesus Christ is my Lord and Savior!\nGodspeed Brian Thompson. May God's grace surround his family.""]",jesus - rip - god - celebrate - brother - holiday - die - death - day - alive,False,12/9/2024 20:54,12/9/2024 20:54
"Luigi Mangione:

- Elite high school & college education (IQ undoubtedly high).

- Couldn’t crack it in America (skills issue).

- Takes anger at society out on the CEO Brian Thompson (a good man by all accounts).

- This has everything to do with Luigi’s personal shortcomings.…",0,0_mangioni_prayers_news_pray,"['mangioni', 'prayers', 'news', 'pray', 'family', 'jesus', 'hope', 'arrest', 'devastated', 'daniel']","['Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""', 'NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”""]",mangioni - prayers - news - pray - family - jesus - hope - arrest - devastated - daniel,False,12/9/2024 20:52,12/9/2024 20:52
Give him a medal,2,2_jesus_rip_god_celebrate,"['jesus', 'rip', 'god', 'celebrate', 'brother', 'holiday', 'die', 'death', 'day', 'alive']","[""Brian Thompson made it in life from humble/modest background and barely got to enjoy much of it before he was killed. he'll never see his boys get married or meet his grandkids. had his whole life ahead of him before it was abruptly cut short. and for nothing."", ""Brian Thompson and his family live in the next town over from me. His wife and two boys are going to sleep tonight after enduring the worst day of their lives. They'll never have a normal holiday season ever again. Millions of people watched their husband & dad get killed.\n\nShit…"", ""This is ghastly. Seek Jesus, repent. 1 second here, next second crossing over. Where would you land if your time was up today?\nJesus Christ is my Lord and Savior!\nGodspeed Brian Thompson. May God's grace surround his family.""]",jesus - rip - god - celebrate - brother - holiday - die - death - day - alive,False,12/9/2024 20:45,12/9/2024 20:45
