Topic,Count,Name,Representation,Representative_Docs
0,1700,0_mangiones_luigimangione_freeluigi_hero,"['mangiones', 'luigimangione', 'freeluigi', 'hero', 'free', 'man', 'shirt', 'god', 'christmas', 'italian']","['In This House Luigi Mangione Is A Hero End Of Story T-Shirts - Official Free Luigi', 'FREE MANGIONE!!! OUR HERO!!!😍😍😍😍😍😍😍😍😍😍😍😍', 'FREE LUIGI MANGIONE , HE IS A HERO']"
1,1607,1_luigimangione_justice_nypd_suspect,"['luigimangione', 'justice', 'nypd', 'suspect', 'mayor', 'innocent', 'police', 'killer', 'case', 'assassin']","['Protesters gather outside New York State Supreme Court in support of alleged shooter Luigi Mangione, suspected to be involved in the death of United Healthcare CEO Brian Thompson', ""People talking about the arrest of Luigi Mangione for the death of the United Healthcare CEO saying justice should have come from the justice system have a point. The problem is it didn't and never would. \n\nWe need a new system for the People, not owned by the elites!"", 'Luigi Mangione’s attorney calls out the NYPD and Mayor Eric Adams for staging a public perp walk with the media before a fair trial could be held:\n\n“Luigi is innocent until proven guilty.”']"
2,1569,2_mario_needs_fr_need,"['mario', 'needs', 'fr', 'need', 'want', 'take', 'right', 'next', 'fuck', 'let']","['We need more Luigi’s.', 'This is why we need more Luigi.', 'We need a Luigi and we need one right now']"
3,1291,3_deaths_killer_murderer_died,"['deaths', 'killer', 'murderer', 'died', 'killed', 'death', 'kill', 'insurance', 'die', 'shooter']","[""Again where's the article that says that?\nYou're lying like hell to make Brian Thompson look good for denying people health coverage that got them killed and just like BT you really don't give a fuck about lower class people because you got your ⚪ class privilege protecting you."", 'How many people died as a direct result from Brian Thompson’s actions? How many people died because his company denied them coverage and they couldn’t afford treatment?', 'Few people have killed more than Brian Thompson.']"
4,1192,4_innocent_murderer_killer_justice,"['innocent', 'murderer', 'killer', 'justice', 'shooter', 'killed', 'case', 'assassin', 'guilty', 'criminal']","['Hear me out Luigi is innocent and the real killer is free', ""Kyle went to another state to kill innocent people, whereas Luigi killed a monster. He's right, there is no comparison. He's got nothing on Luigi."", 'they denied the death penalty to the parkland shooter (who killed 17 innocent people, mostly children) but want to give it to luigi (who killed one bad person)… ok.']"
5,1111,5_italian_guy_handsome_hotter,"['italian', 'guy', 'handsome', 'hotter', 'cooler', 'hot', 'face', 'hero', 'right', 'ugly']","['I really don’t think Luigi is the guy. Not even a bit just doesn’t look like the same dude. Sounds like a setup', 'Luigi, the hero of the people.', 'I like luigi']"
6,1106,6_ceos_insurance_healthcare_health,"['ceos', 'insurance', 'healthcare', 'health', 'corporate', 'medical', 'greed', 'care', 'rich', 'corrupt']","['well he is the ceo and decision maker for a healthcare company that literally denies people their healthcare that they pay for so yeah. \nLuigi may have killed that guy, but that guy was responsible for hundreds of thousands of deaths so fuck him. 🤷🏻\u200d♀️', ""Don't care. Someone needed to do something bold to show what a racket the health care industry is. The United guy was at a fucking investment meeting. Nobody should be making money off denied health insurance claims. \n\nFree Luigi now."", ""$Luigi don't let greedy CEOs take care of your health""]"
7,1023,7_rich_trump_class_billionaires,"['rich', 'trump', 'class', 'billionaires', 'elites', 'revolution', 'poor', 'leftist', 'think', 'everyone']","[""Don't go for someone that'll divide the working people. Where Luigi's move has united a lot of people, a move like this could do untold damage to any hope of a unified working-class movement."", 'This ain’t a left vs right thing I voted trump but I’m saying free Luigi and fuck the 1%', 'people are saying that Luigi has started a class war, he has not. There has been a class war for years now, the rich have been killing and destroying the lives of the working class. Its just now that the poor are fighting back.']"
8,906,8_healthcare_luigimangione_health_manifesto,"['healthcare', 'luigimangione', 'health', 'manifesto', 'insurance', 'violence', 'care', 'lives', 'parasites', 'unjust']","['Health insurance companies shouldn’t get to play with people’s lives the way they do. Free Luigi Mangione!!!', 'Excerpt from Luigi Mangione\'s manifesto:\n\n""I do apologize for any strife of traumas but it had to be done. Frankly, these parasites simply had it coming. A reminder: the US has the #1 most expensive healthcare system in the world, yet we rank roughly #42 in life expectancy... It…', 'Luigi Mangione’s Manifesto:\n\n“…I do apologize for any strife or traumas but it had to be done. Frankly, these parasites simply had it coming. A reminder: the US has the #1 most expensive healthcare system in the world, yet we rank roughly #42 in life expectancy. United is the…']"
9,893,9_mario_wrong_right_everyone,"['mario', 'wrong', 'right', 'everyone', 'instead', 'guy', 'happened', 'mistake', 'jesus', 'better']","['y’all got the wrong guy luigi didn’t do it !!', 'Luigi got the wrong guy', 'Luigi got the wrong guy.']"
10,742,10_luigimangione_coin_crypto_movement,"['luigimangione', 'coin', 'crypto', 'movement', 'cult', '5xykkfajpamsh4tf2efj3s61w3hc5cjhxnzqq5h1pump', 'fund', 'going', 'next', 'wallet']","['GM❤️\n$luigi is a movement.\nThe next cult. \nBuy the token and support the cause. \n$luigi to flip UnitedHealthcare\n\n#luigimangione\n5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump', 'JOIN THE MOVEMENT!\n\nPUMP THE COIN TO FREE LUIGI:', ""$LUIGI Let's get this coin to the moon""]"
11,667,11_luigimangione_mario_freeluigimangione_free,"['luigimangione', 'mario', 'freeluigimangione', 'free', 'freeluigi', 'xluigi', 'freedom', 'locked', 'lock', 'dex']","['Free $luigi', 'Free #luigi', 'Free $Luigi']"
12,522,12_jury_terrorism_terrorist_terrorists,"['jury', 'terrorism', 'terrorist', 'terrorists', 'innocent', 'nypd', 'guilty', 'trial', 'justice', 'shooters']","['Jury selection is going to be very difficult for prosecution. Plus, hitting him with federal terrorism charges when school shooters don’t get that, is already making people sympathise with him especially as most Americans despise the healthcare system.', 'Whoever is on that jury better know what jury nullification is', 'They don’t want my man Luigi to get a jury trial. That’s why they say terrorism. So the military handles it. 🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅']"
13,429,13_jail_prison_arrested_prisoners,"['jail', 'prison', 'arrested', 'prisoners', 'inmates', 'freed', 'case', 'pengu', 'prisons', 'justice']","['Me as soon as Luigi get out of prison 👀', ""Then I'm going to jail then (to be with Luigi)"", 'Free Luigi, if Donald Trump ain’t going to jail Luigi should not have to go to jail.']"
14,195,14_pardoning_pardons_pardoned_pardon,"['pardoning', 'pardons', 'pardoned', 'pardon', 'biden', 'luigimangione', 'presidentmangione', 'trump', 'definitely', 'better']","['Will BIDEN PARDON HIM?', 'Should Biden pardon Luigi Mangione?', 'Should BIden Pardon Luigi?']"
